city,country,continent,coastal,total_rows,expected_rows,coverage_pct,date_start,date_end,missing_temperature_2m,missing_temperature_2m_pct,missing_relative_humidity_2m,missing_relative_humidity_2m_pct,missing_precipitation,missing_precipitation_pct,missing_windspeed_10m,missing_windspeed_10m_pct,missing_surface_pressure,missing_surface_pressure_pct,missing_cloudcover,missing_cloudcover_pct,missing_shortwave_radiation,missing_shortwave_radiation_pct,missing_visibility,missing_visibility_pct,outliers_temperature_2m,outliers_relative_humidity_2m,outliers_precipitation,outliers_windspeed_10m,outliers_surface_pressure,outliers_cloudcover,outliers_shortwave_radiation,temp_mean,temp_min,temp_max,temp_std,status
Mumbai,India,Asia,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,6141,163,24059,1035,356,0,0,26.7,13.0,39.1,3.25,OK
Miami,USA,North America,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,4820,1227,28691,1266,3088,0,4,24.76,3.3,35.3,3.74,OK
Lagos,Nigeria,Africa,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,1511,5873,17910,194,166,0,11,26.82,18.7,35.2,2.05,OK
Jakarta,Indonesia,Asia,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,206,1531,24732,4104,574,1392,0,26.68,19.8,37.2,2.48,OK
Sydney,Australia,Oceania,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,607,816,20871,2101,798,0,2937,17.5,1.1,42.0,4.97,OK
Rotterdam,Netherlands,Europe,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,342,807,25031,2290,2353,0,10955,10.93,-12.6,37.0,6.55,OK
Cape_Town,South Africa,Africa,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,1764,267,13553,429,1464,0,1188,17.03,3.6,36.2,4.52,OK
Dhaka,Bangladesh,Asia,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,2930,1646,29886,4110,2,0,355,25.33,7.6,40.0,4.97,OK
Tokyo,Japan,Asia,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,0,280,23579,5536,837,0,6654,15.25,-8.0,39.3,8.76,OK
Karachi,Pakistan,Asia,True,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,1759,255,4819,478,0,0,0,26.13,8.9,42.9,4.81,OK
Delhi,India,Asia,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,0,0,12127,4732,0,0,0,24.39,1.3,45.6,8.17,OK
Riyadh,Saudi Arabia,Asia,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,0,8274,1807,2507,2,15923,0,26.55,-2.0,46.7,9.71,OK
Nairobi,Kenya,Africa,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,27,0,27152,1332,500,0,13,18.98,8.1,31.5,3.84,OK
Chicago,USA,North America,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,42,477,19647,1486,2917,0,6514,10.03,-32.5,37.4,11.03,OK
Moscow,Russia,Europe,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,152,966,21784,1569,3635,0,13560,6.12,-34.1,37.5,11.26,OK
Ulaanbaatar,Mongolia,Asia,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,0,0,10552,6124,1572,0,2940,0.76,-39.2,37.4,14.46,OK
Phoenix,USA,North America,False,131472,131490,99.99,2009-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131472,100.0,0,1062,4414,4954,1591,0,0,23.61,-3.0,47.7,10.25,OK
