city,test_rows,heatwave_pct,f1,recall,auc
Delhi,17544,1.27,1.0,1.0,1.0
Sydney,17544,0.34,1.0,1.0,1.0
Miami,17544,0.01,1.0,1.0,1.0
Cape_Town,17544,0.02,1.0,1.0,1.0
Rotterdam,17544,0.03,1.0,1.0,1.0
Riyadh,17544,23.15,0.983,0.989,1.0
Phoenix,17544,18.02,0.981,0.985,1.0
Cairo,17544,10.26,0.974,0.97,1.0
Sao_Paulo,17544,0.09,0.966,0.933,1.0
Madrid,17544,1.81,0.954,0.959,1.0
Tokyo,17544,0.1,0.903,0.824,1.0
Jakarta,17544,0.16,0.88,0.786,1.0
Chicago,17544,0.01,0.667,0.5,1.0
Moscow,17544,0.0,0.0,0.0,N/A
Nairobi,17544,0.0,0.0,0.0,N/A
Mumbai,17544,0.0,0.0,0.0,N/A
Lagos,17544,0.0,0.0,0.0,N/A
Karachi,17544,0.0,0.0,0.0,N/A
Dhaka,17544,0.0,0.0,0.0,N/A
Ulaanbaatar,17544,0.0,0.0,0.0,N/A
