City,Month,Clim_Mean_Temp,Trend_2026_Temp,Hist_Max_Temp,Heatwave_Risk_%,HeavyRain_Risk_%
Cairo,Jun,29.5,30.8,46.4,26.2,0.0
Cairo,Jul,31.0,32.9,43.8,36.5,0.0
Cairo,Aug,31.0,32.1,44.4,32.5,0.0
Cape_Town,Jun,13.9,14.5,27.3,0.0,5.6
Cape_Town,Jul,12.9,12.7,26.1,0.0,4.9
Cape_Town,Aug,13.1,12.6,29.9,0.0,3.0
Chicago,Jun,20.5,22.5,37.4,0.6,3.0
Chicago,Jul,23.0,23.9,35.0,0.1,4.9
Chicago,Aug,22.6,23.0,37.0,0.6,2.7
Delhi,Jun,32.9,32.8,44.9,11.2,3.3
Delhi,Jul,29.8,30.3,41.8,0.0,7.2
Delhi,Aug,28.9,29.2,36.9,0.0,5.3
Dhaka,Jun,28.7,29.2,38.9,0.0,8.3
Dhaka,Jul,28.3,29.2,35.2,0.0,7.2
Dhaka,Aug,28.3,28.4,36.6,0.0,9.5
Jakarta,Jun,26.9,27.0,34.5,0.0,5.6
Jakarta,Jul,27.1,27.4,34.9,0.0,3.6
Jakarta,Aug,27.4,27.6,36.6,0.3,3.1
Karachi,Jun,30.4,30.2,41.0,0.0,0.5
Karachi,Jul,29.7,30.5,38.6,0.0,3.4
Karachi,Aug,28.2,28.3,35.4,0.0,3.6
Lagos,Jun,26.2,26.6,31.4,0.0,8.9
Lagos,Jul,25.5,25.8,29.9,0.0,5.6
Lagos,Aug,25.2,25.5,29.5,0.0,3.3
Madrid,Jun,23.5,24.1,40.3,5.0,1.2
Madrid,Jul,27.7,28.0,41.3,13.9,0.0
Madrid,Aug,27.0,28.7,41.5,14.8,0.3
Miami,Jun,27.1,26.9,33.9,0.0,9.7
Miami,Jul,28.2,28.2,34.2,0.0,3.6
Miami,Aug,28.3,28.5,34.5,0.0,5.2
Moscow,Jun,17.8,18.8,33.4,0.0,1.8
Moscow,Jul,19.7,21.4,35.0,0.1,2.8
Moscow,Aug,18.5,18.7,31.6,0.0,1.7
Mumbai,Jun,28.0,27.9,34.5,0.0,18.0
Mumbai,Jul,26.6,26.6,30.6,0.0,35.8
Mumbai,Aug,26.5,26.6,30.3,0.0,12.5
Nairobi,Jun,17.8,18.1,27.1,0.0,0.4
Nairobi,Jul,17.3,17.5,27.7,0.0,0.4
Nairobi,Aug,17.5,17.6,28.5,0.0,0.4
Phoenix,Jun,33.8,33.4,47.6,42.0,0.2
Phoenix,Jul,35.4,36.7,46.9,59.8,1.2
Phoenix,Aug,34.5,35.3,46.9,49.6,1.1
Riyadh,Jun,35.9,37.1,46.0,59.8,0.0
Riyadh,Jul,37.3,37.9,47.6,64.9,0.0
Riyadh,Aug,36.8,37.6,46.0,65.7,0.0
Rotterdam,Jun,17.2,17.9,31.8,0.0,2.5
Rotterdam,Jul,18.4,18.3,37.0,0.4,2.6
Rotterdam,Aug,18.7,19.0,33.8,0.0,2.2
Sao_Paulo,Jun,16.6,17.0,27.4,0.0,1.2
Sao_Paulo,Jul,16.2,15.9,28.2,0.0,0.6
Sao_Paulo,Aug,17.0,16.8,32.1,0.0,1.3
Sydney,Jun,12.4,11.3,22.2,0.0,2.4
Sydney,Jul,12.1,12.3,24.6,0.0,4.2
Sydney,Aug,13.0,13.5,29.1,0.0,3.6
Tokyo,Jun,22.2,23.6,36.1,0.1,6.6
Tokyo,Jul,26.3,28.3,39.4,4.7,3.0
Tokyo,Aug,27.5,29.7,38.8,5.1,4.4
Ulaanbaatar,Jun,16.5,16.5,33.9,0.0,2.0
Ulaanbaatar,Jul,19.0,18.3,37.5,0.0,3.8
Ulaanbaatar,Aug,16.2,15.5,34.9,0.0,4.0
